name,occurrences,score_sum,rating
Canada,78,600.5,7.698717948717949
USA,777,6418.75,8.260939510939512
Spain,30,154,5.133333333333334
NT,1,23,23.0
Colombia,6,90,15.0
UK,90,721.5,8.016666666666667
Russia,2,2,1.0
France,36,279,7.75
Mexico,8,35,4.375
Israel,31,162,5.225806451612903
Czech Republic,1,4.5,4.5
Denmark,8,222,27.75
Norway,3,11,3.6666666666666665
Chile,9,54,6.0
Australia,38,249.25,6.559210526315789
Malaysia,5,49,9.8
Ukraine,6,52,8.666666666666666
India,53,259,4.886792452830188
Serbia,1,0,0.0
Thailand,2,2,1.0
Bulgaria,6,36,6.0
Brazil,53,434,8.18867924528302
Germany,46,239,5.195652173913044
Peru,1,6,6.0
Italy,9,65,7.222222222222222
South Africa,4,22,5.5
Ireland,7,32.25,4.607142857142857
Hong Kong,5,36,7.2
The Netherlands,22,166.75,7.579545454545454
Fla,1,0,0.0
Austria,3,18,6.0
China,6,71,11.833333333333334
Belgium,8,35,4.375
New Zealand,6,28,4.666666666666667
Cayman Islands,2,79,39.5
Singapore,9,25,2.7777777777777777
Estonia,6,17,2.8333333333333335
BC,2,16,8.0
Switzerland,14,105.25,7.517857142857143
Finland,3,6,2.0
Taiwan,3,16,5.333333333333333
Japan,13,158,12.153846153846153
Pakistan,1,4,4.0
Greece,1,3,3.0
Sweden,11,71,6.454545454545454
NSW,1,4,4.0
Kenya,4,16,4.0
Netherlands,1,15,15.0
Lithuania,2,11.25,5.625
Bangladesh,1,3,3.0
Argentina,2,7,3.5
New England,1,5,5.0
Poland,6,24,4.0
Armenia,1,9,9.0
Indonesia,6,50,8.333333333333334
Lebanon,1,3,3.0
Russian Federation,8,84,10.5
South Korea,4,20,5.0
UAE,1,5,5.0
Turkey,1,2,2.0
Moscow,1,2,2.0
GE,1,23,23.0
Nigeria,1,2,2.0
Nepal,1,3,3.0
Malmö,1,3,3.0
Toronto ON  MB G,1,5,5.0
Europe,1,8,8.0
Sénégal,1,1,1.0
Philippines,2,6,3.0
Hungary,2,3,1.5
Luxembourg,1,1,1.0
Belarus,1,10,10.0
Zimbabwe,2,34,17.0
Iran,2,5,2.5
Romania,1,1,1.0
Trinidad and Tobago,1,4,4.0
Zambia,1,2,2.0
Uganda,2,8,4.0
Western US,2,6,3.0